student_id,major,education_mode,study_group,hours_studied,attendance_rate,sleep_hours,assignments_completed,previous_score,final_score,passed,grade,exam_date
1089,Computer Science,Online,Group B,19.3,75.6,7.0,9,86.6,82.6,Yes,B,2026-01-15
1115,Computer Science,Hybrid,Group D,11.3,95.5,9.3,7,66.6,72.8,Yes,C,2026-01-15
1132,Biology,In-person,Group D,12.2,65.8,7.1,9,43.8,48.7,No,F,2026-01-15
1001,Mathematics,Hybrid,Group A,14.1,80.8,5.6,8,79.6,64.1,Yes,D,2026-01-16
1034,Business,Hybrid,Group D,7.0,74.0,5.0,8,67.9,49.8,No,F,2026-01-16
1017,Engineering,In-person,Group C,10.5,94.4,5.6,9,89.6,70.9,Yes,C,2026-01-17
1138,Business,In-person,Group A,14.5,73.5,6.7,11,92.0,71.0,Yes,C,2026-01-18
1011,Business,Hybrid,Group C,13.5,78.4,5.8,5,63.6,60.5,Yes,D,2026-01-20
1082,Business,Hybrid,Group B,12.4,89.4,7.8,8,53.8,51.3,No,F,2026-01-20
1087,Mathematics,In-person,Group C,8.9,66.4,6.8,9,74.8,70.3,Yes,C,2026-01-20
1053,Mathematics,Hybrid,Group A,14.6,73.9,6.9,9,66.8,67.7,Yes,D,2026-01-21
1175,Computer Science,In-person,Group C,14.4,81.0,5.5,10,79.6,79.1,Yes,C,2026-01-21
1032,Biology,In-person,Group A,4.8,100.0,5.7,7,58.4,40.3,No,F,2026-01-22
1179,Biology,In-person,Group A,14.4,76.2,7.0,10,76.9,74.9,Yes,C,2026-01-22
1146,Computer Science,In-person,Group C,18.0,66.9,5.7,10,49.1,79.3,Yes,C,2026-01-23
1048,Computer Science,In-person,Group B,12.0,92.6,9.0,7,85.8,81.7,Yes,B,2026-01-24
1059,Computer Science,Online,Group B,15.0,47.2,8.1,10,71.6,62.4,Yes,D,2026-01-25
1063,Engineering,Online,Group A,14.0,62.2,7.0,9,59.4,63.9,Yes,D,2026-01-26
1102,Engineering,Online,Group C,10.0,65.6,6.6,7,58.4,46.8,No,F,2026-01-27
1147,Business,Hybrid,Group D,17.6,88.3,6.9,7,60.1,58.6,No,F,2026-01-27
1167,Mathematics,Hybrid,Group A,15.7,82.8,9.5,8,72.5,70.2,Yes,C,2026-01-27
1061,Engineering,Hybrid,Group D,13.6,81.3,6.5,8,62.1,74.9,Yes,C,2026-01-29
1151,Mathematics,In-person,Group B,6.8,85.6,8.0,8,43.0,55.7,No,F,2026-01-29
1169,Business,In-person,Group A,4.0,62.4,7.4,8,82.3,49.8,No,F,2026-01-29
1078,Engineering,Online,Group B,9.5,72.5,6.4,6,74.7,58.2,No,F,2026-01-30
1094,Business,In-person,Group B,18.3,90.6,5.8,7,80.5,78.2,Yes,C,2026-01-30
1155,Computer Science,Online,Group C,21.0,56.6,6.6,7,38.2,52.5,No,F,2026-01-30
1154,Engineering,Hybrid,Group A,15.2,82.1,7.3,8,65.0,75.3,Yes,C,2026-01-31
1051,Computer Science,Online,Group C,18.4,77.8,7.0,9,62.2,52.7,No,F,2026-02-01
1080,Mathematics,In-person,Group B,5.0,81.8,7.3,5,61.4,48.9,No,F,2026-02-01
1092,Engineering,Online,Group D,18.0,65.6,5.8,7,88.2,76.9,Yes,C,2026-02-01
1156,Engineering,In-person,Group C,6.7,79.0,7.4,12,56.0,66.3,Yes,D,2026-02-01
1139,Mathematics,In-person,Group C,12.8,67.3,7.1,10,77.9,60.9,Yes,D,2026-02-02
1140,Computer Science,Hybrid,Group D,5.5,78.1,7.0,11,70.0,62.9,Yes,D,2026-02-02
